,Title,Tags
146,The Nut Job 2: Nutty by Nature,"when the evil mayor of oakton decid to bulldoz liberti park and build a danger amus park in it place, surli squirrel and hi ragtag group of anim friend need to band togeth to save their home, defeat the mayor, and take back the park. famili anim adventur comedi will arnett katherin heigl maya rudolph cal brunker"
147,Good Time,"after a botch bank robberi land hi younger brother in prison, conni nika embark on a twist odyssey through new york city' underworld to get hi brother nick out of jail. crime drama thriller robert pattinson jennif jason leigh ben safdi ben safdi & joshua safdi"
148,Ingrid Goes West,"ingrid becom obsess with a social network star name taylor sloan who seemingli ha a perfect life. but when ingrid decid to drop everyth and move west to be taylor' friend, her behaviour turn unsettl and dangerous. comedi drama aubrey plaza elizabeth olsen o'shea jackson jr. matt spicer"
149,The Only Living Boy in New York,"when a young man learn that hi overbear father is have an affair, he tri to stop it, onli to be seduc by the older woman as well. drama callum turner kate beckinsal pierc brosnan marc webb"
150,The Hitman's Bodyguard,"the world' top bodyguard get a new client, a hit man who must testifi at the intern court of justice. they must put their differ asid and work togeth to make it to the trial on time. thriller comedi crime action ryan reynold samuel l. jackson gari oldman patrick hugh"
151,Logan Lucky,"tri to revers a famili curse, brother jimmi and clyde logan set out to execut an elabor robberi dure the legendari coca-cola 600 race at the charlott motor speedway. action comedi crime drama chan tatum adam driver riley keough steven soderbergh"
152,Patti Cake$,"straight out of jersey come patricia dombrowski, a.k.a. killa p, a.k.a. patti cake$, an aspir rapper fight through a world of strip mall and strip club on an unlik quest for glory. drama music daniel macdonald mccaul lombardi geremi jasper"
153,Victor Crowley,"ten year after the event of the origin movie, victor crowley is mistakenli resurrect and proce to kill onc more. comedi horror kane hodder tyler mane parri shen adam green"
154,All Saints,"all saint is base on the inspir true stori of salesman-turned-pastor michael spurlock, the tini church he wa order to shut down, and a group of refuge from southeast asia. together, they risk everyth to plant seed for a futur that might just save them all. drama comedi john corbett cara buono steve gomer"
155,Served Like A Girl,five women veteran who have endur unimagin trauma in servic creat a share sisterhood to help the rise number of strand homeless women veteran by enter a competit that unexpectedli catalyz move event in their own lives. documentari lysa heslov (director) lysa heslov
156,Beach Rats,"an aimless teenag on the outer edg of brooklyn struggl to escap hi bleak home life and navig question of self-identity, as he balanc hi time between hi delinqu friends, a potenti new girlfriend, and older men he meet online. drama romanc harri dickinson madelin weinstein kate hodg eliza hittman"
157,Film Stars Don't Die in Liverpool,"liverpool, 1978: what start as a vibrant affair between a legendari femme-fatale, the eccentr academi award-win actress gloria grahame, and her young lover, british actor peter turner, quickli grow into a deeper relationship, with turner be the person gloria turn to for comfort. romanc drama annett bene jami bell vanessa redgrav paul mcguigan"
158,Tulip Fever,an artist fall for a marri young woman while he' commiss to paint her portrait. the two invest in the riski tulip market in hope to build a futur together. drama romanc alicia vikand dane dehaan christoph waltz justin chadwick
159,Unlocked,"after fail to apprehend the terrorist behind a pari attack that claim dozen of lives, cia agent alic racin is forc to live in london as a caseworker. her mentor unexpectedli call her back into action when the cia discov that anoth attack is imminent. alic soon learn that the classifi inform she' uncov ha been compromised... action thriller noomi rapac orlando bloom toni collett michael apt"
160,It,"27 year after overcom the malevol supernatur entiti pennywise, the former member of the losers' club, who have grown up and move away from derry, are brought back togeth by a devast phone call. horror fantasi jaeden lieberh bill skarsgård sophia lilli andi muschietti"
161,Home Again,life for a singl mom in lo angel take an unexpect turn when she allow three young guy to move in with her. comedi drama romanc rees witherspoon candic bergen michael sheen halli meyers-shy
162,9/11,"a group of 5 peopl find themselv trap in an elev in the world trade center' north tower on 9/11. they work together, never give up hope, to tri to escap befor the unthink happens. drama charli sheen gina gershon lui guzmán martin guigui"
163,The Good Catholic,"an idealist young priest is dedic to hi call until he meet a woman at confession. after the meeting, he seek guidanc from hi fellow priests. drama comedi zachari spicer wrenn schmidt john c. mcginley paul shoulberg"
164,Gun Shy,"a mega-platinum, age rock star' supermodel wife is abduct by pirat while vacat in chile. action adventur comedi crime thriller antonio bandera olga kurylenko simon west"
165,Fallen,"after a treacher attack, secret servic agent mike ban is charg with attempt to assassin presid trumbull. chase by hi own colleagu and the fbi, ban begin a race against the clock to clear hi name. action thriller addison timlin jeremi irvin scott hick"
166,American Assassin,"follow the murder of hi fiancée, mitch rapp train under the instruct of cold war veteran stan hurley. the pair then is enlist to investig a wave of appar random attack on militari and civilian targets. action thriller dylan o'brien michael keaton sanaa lathan michael cuesta"
167,Mother!,"a couple' relationship is test when uninvit guest arriv at their home, disrupt their tranquil existence. drama horror mysteri jennif lawrenc javier bardem michel pfeiffer darren aronofski"
168,Brad's Status,"although brad ha a satisfi career, a sweet wife and a comfort life in suburban sacramento, thing aren't quit what he imagin dure hi colleg glori days. when he accompani hi music prodigi son on a univers tour, he can't help compar hi life with those of hi four best colleg friend who seemingli have more wealthi and glamor lives. but when circumst forc him to reconnect with hi former friends, brad begin to question whether he ha realli fail or if their live are actual more flaw than they appear. comedi drama ben stiller michael sheen luke wilson mike white"
169,Kingsman: The Golden Circle,"when an attack on the kingsman headquart take place and a new villain rises, eggsi and merlin are forc to work togeth with the american agenc known as the statesman to save the world. action adventur comedi crime thriller colin firth juliann moor taron egerton matthew vaughn"
170,The Lego Ninjago Movie,"six young ninja are task with defend their island home of ninjago. by night, they’r gift warrior use their skill and awesom fleet of vehicl to fight villain and monsters. by day, they’r ordinari teen struggl against their greatest enemy....high school. famili anim action adventur comedi jacki chan justin theroux dave franco charli bean"
171,Stronger,a victim of the boston marathon bomb in 2013 help the polic track down the killer while struggl to recov from devast trauma. drama jake gyllenha tatiana maslani miranda richardson david gordon green
172,Battle of the Sexes,the true stori of the 1973 tenni match between world number one billi jean king and ex-champ and serial hustler bobbi riggs. comedi drama histori emma stone steve carel andrea riseborough jonathan dayton and valeri fari
173,Woodshock,"theresa, a haunt young woman spiral in the wake of profound loss, is torn between her fractur emot state and the reality-alt effect of a potent cannabinoid drug. thriller drama kirsten dunst joe cole pilou asbæk kate and laura mulleavi (directors/screenplay); kirsten dunst joe cole pilou asbæk lorelei linklat jack kilmer"
174,Victoria & Abdul,queen victoria strike up an unlik friendship with a young indian clerk name abdul karim. drama histori judi dench ali fazal eddi izzard stephen frear
175,Jeepers Creepers 3,"take place on the last day of the creeper’ twenty-three-day feed frenzy, as the skeptic sergeant tubb team up with a task forc hellbent on destroy the creeper for good. the creeper fight back in gori glori as it enemi grow closer than ever befor to learn the secret of it dark origins. horror mysteri thriller jonathan breck meg foster brandon jame victor salva"
176,American Made,"the true stori of pilot barri seal, who transport contraband for the cia and the medellin cartel in the 1980s. action crime comedi tom cruis domhnal gleeson sarah wright doug liman"
177,Flatliners,"five medic students, hope to understand the mysteri of what lie beyond life, embark on a danger experiment. when their heart are stop for a short period of time, they have a near-death experience… drama horror thriller ellen page diego luna nina dobrev niel arden oplev"
178,Mark Felt: The Man Who Brought Down the White House,"the stori of mark felt, who under the name ""deep throat"" help journalist bob woodward and carl bernstein uncov the waterg scandal in 1974. drama histori thriller liam neeson dian lane marton csoka peter landesman"
179,Blade Runner 2049,"thirti year after the event of the first film, a new blade runner, lapd offic k, unearth a long-buri secret that ha the potenti to plung what' left of societi into chaos. k' discoveri lead him on a quest to find rick deckard, a former lapd blade runner who ha been miss for 30 years. scienc fiction drama harrison ford ryan gosl ana de arma deni villeneuv"
180,The Mountain Between Us,"strand after a tragic plane crash, two stranger must forg a connect to surviv the extrem element of a remot snow cover mountain. when they realiz help is not coming, they embark on a peril journey across the wilderness. romanc adventur drama idri elba kate winslet dermot mulroney hani abu-assad"
181,My Little Pony: The Movie,"a new dark forc threaten ponyville, and the mane 6 – twilight sparkle, applejack, rainbow dash, pinki pie, fluttershi and rariti – embark on an unforgett journey beyond equestria where they meet new friend and excit challeng on a quest to use the magic of friendship and save their home. famili anim music adventur fantasi tara strong ashleigh ball andrea libman jayson thiessen"
182,The Florida Project,"the stori of a precoci six year-old and her ragtag group of friend whose summer break is fill with childhood wonder, possibl and a sens of adventur while the adult around them struggl with hard times. drama willem dafo bria vinait brooklynn princ sean baker"
183,Brawl in Cell Block 99,"after work as a drug courier and get into a brutal shootout with police, a former boxer find himself at the merci of hi enemi as they forc him to instig violent act that turn the prison he resid in into a battleground. action crime thriller vinc vaughn jennif carpent don johnson s. craig zahler"
184,Happy Death Day,"caught in a bizarr and terrifi time warp, colleg student tree find herself repeatedli reliv the day of her murder, ultim realiz that she must identifi the killer and the reason for her death befor her chanc of surviv run out. horror mysteri comedi jessica roth israel broussard rubi modin christoph b. landon"
185,Marshall,"thurgood marshall, the first african-american suprem court justice, battl through one of hi career-defin cases. drama chadwick boseman josh gad kate hudson reginald hudlin"
186,Breathe,"the blind man ha been hide out for sever year in an isol cabin and ha taken in and rais a young girl orphan from a devast hous fire. their quiet life togeth is shatter when a group of crimin kidnap the girl, forc the blind man to leav hi safe haven to save her. thriller horror andrew garfield clair foy tom holland andi serki"
187,Goodbye Christopher Robin,the behind the scene stori of the life of a.a. miln and the creation of the winni the pooh stori inspir by hi son christoph robin. famili histori drama domhnal gleeson margot robbi kelli macdonald simon curti
188,Professor Marston and the Wonder Women,"the unconvent life of dr. william marston, the harvard psychologist and inventor who help invent the modern lie detector test and creat wonder woman in 1941. drama romanc luke evan rebecca hall bella heathcot angela robinson"
189,Blood Money,"in south africa, a young man live with hi wife becom embroil in an illeg diamond busi and with time find hi life changing. drama action thriller john cusack ellar coltran willa fitzgerald lucki mckee"
190,Geostorm,"after an unpreced seri of natur disast threaten the planet, the world' leader came togeth to creat an intric network of satellit to control the global climat and keep everyon safe. but now, someth ha gone wrong: the system built to protect earth is attack it, and it becom a race against the clock to uncov the real threat befor a worldwid geostorm wipe out everyth and everyon along with it. action scienc fiction thriller gerard butler abbi cornish alexandra lara dean devlin"
191,Only the Brave,member of the granit mountain hotshot battl deadli wildfir to save an arizona town. drama action histori ben hardi jennif connelli taylor kitsch joseph kosinski
192,Boo 2! A Madea Halloween,"madea and the gang encount monsters, goblin and boogeymen at a haunt campground. horror comedi tyler perri cassi davi patric love tyler perri"
193,Same Kind of Different as Me,"intern art dealer ron hall must befriend a danger homeless man in order to save hi struggl marriag to hi wife, a woman whose dream will lead all three of them on the journey of their lives. drama rené zellweg jon voight djimon hounsou michael carney"
194,Leatherface,"a young nurs is kidnap by a group of violent teen who escap from a mental hospit and take her on the road trip from hell. pursu by an equal derang lawman out for revenge, one of the teen is destin for tragedi and horror that will destroy hi mind, mould him into a monster name leatherface. horror thriller mysteri stephen dorff vanessa grass sam strike julien mauri and alexandr bustillo"
195,Wonderstruck,the stori of a young boy in the midwest is told simultan with a tale about a young girl in new york from fifti year ago as they both seek the same mysteri connection. drama oak fegley juliann moor millic simmond todd hayn
196,The Killing of a Sacred Deer,"dr. steven murphi is a renown cardiovascular surgeon who presid over a spotless household with hi wife and two children. lurk at the margin of hi idyl suburban exist is martin, a fatherless teen who insinu himself into the doctor' life in gradual unsettl ways. drama thriller mysteri colin farrel nicol kidman barri keoghan yorgo lanthimo"
197,Thank You for Your Service,"a group of u.s. soldier return from iraq struggl to integr back into famili and civilian life, while live with the memori of a war that threaten to destroy them long after they'v left the battlefield. drama war mile teller haley bennett beulah koal jason hall"
198,Suburbicon,"in the quiet famili town of suburbicon dure the 1950s, the best and worst of human is hilari reflect through the deed of seemingli ordinari people. when a home invas turn deadly, a picture-perfect famili turn to blackmail, reveng and murder. thriller crime drama mysteri matt damon juliann moor oscar isaac georg clooney"
199,Jigsaw,"dead bodi begin to turn up all over the city, each meet their demis in a varieti of grisli ways. all investig begin to point the finger at deceas killer john kramer. horror crime mysteri thriller tobin bell mandela van peebl laura vandervoort the spierig brother"
200,Novitiate,"in the earli 1960s, dure the vatican ii era, a young woman train to becom a nun struggl with issu of faith, sexual and the chang church. drama margaret qualley melissa leo morgan saylor maggi bett"
201,All I See Is You,a blind woman' relationship with her husband chang when she regain her sight and discov disturb detail about themselves. mysteri thriller blake live jason clark yvonn strahovski marc forster
202,Amityville: The Awakening,"belle, her littl sister, and her comatos twin brother move into a new hous with their singl mother joan in order to save money to help pay for her brother' expens healthcare. but when strang phenomena begin to occur in the hous includ the miracul recoveri of her brother, bell begin to suspect her mother isn't tell her everyth and soon realiz they just move into the infam amityvil house. thriller horror bella thorn jennif jason leigh cameron monaghan franck khalfoun"
203,Thor: Ragnarok,"thor is imprison on the other side of the univers and find himself in a race against time to get back to asgard to stop ragnarok, the destruct of hi home-world and the end of asgardian civilization, at the hand of a power new threat, the ruthless hela. action adventur comedi fantasi scienc fiction chri hemsworth tom hiddleston cate blanchett taika waititi"
204,A Bad Moms Christmas,"amy, kiki and carla – three under-appreci and over-burden women – rebel against the challeng and expect of the super bowl for mothers: christmas. and if creat a more perfect holiday for their famili wasn’t hard enough, they have to do all of that while host and entertain their own mothers. comedi mila kuni kristen bell kathryn hahn jon luca"
205,Last Flag Flying,"thirti year after serv togeth in the vietnam war, larri ""doc"" shepherd, sal nealon and the rev. richard mueller reunit for a differ type of mission: to buri doc' son, a young marin kill in iraq. forgo burial at arlington nation cemetery, doc and hi old buddi take the casket on a bittersweet trip up the coast to new hampshire. along the way, the three men find themselv reminisc and come to term with the share memori of a war that continu to shape their lives. drama comedi steve carel bryan cranston laurenc fishburn richard linklat"
206,Lady Bird,"ladi bird mcpherson, a strong willed, deepli opinionated, artist 17 year old come of age in sacramento. her relationship with her mother and her upbring are question and test as she plan to head off to college. drama comedi saoirs ronan lauri metcalf traci lett greta gerwig"
207,Murder on the Orient Express,geniu belgian detect hercul poirot investig the murder of an american tycoon aboard the orient express train. mysteri crime drama kenneth branagh penélop cruz willem dafo kenneth branagh
208,Daddy's Home 2,brad and dusti must deal with their intrus father dure the holidays. comedi will ferrel mark wahlberg linda cardellini sean ander
209,LBJ,the stori of u.s. presid lyndon bain johnson from hi young day in west texa to the white house. drama histori woodi harrelson richard jenkin bill pullman rob reiner
210,"Three Billboards Outside Ebbing, Missouri","after seven month have pass without a culprit in her daughter' murder case, mildr hay make a bold move, paint three sign lead into her town with a controversi messag direct at bill willoughby, the town' rever chief of police. when hi second-in-command offic jason dixon, an immatur mother' boy with a penchant for violence, get involved, the battl between mildr and ebbing' law enforc is onli exacerbated. crime drama franc mcdormand woodi harrelson sam rockwel martin mcdonagh"
211,Mayhem,a viru spread through an offic complex caus white collar worker to act out their worst impulses. action comedi horror steven yeun samara weav steven brand joe lynch
212,Justice League,"determin to ensur superman' ultim sacrific wa not in vain, bruce wayn align forc with diana princ with plan to recruit a team of metahuman to protect the world from an approach threat of catastroph proportions. action adventur fantasi scienc fiction ben affleck henri cavil gal gadot zack snyder"
213,The Star,"a small but brave donkey and hi anim friend becom the unsung hero of the greatest stori ever told, the first christmas. comedi adventur famili fantasi anim steven yeun gina rodriguez zachari levi timothi reckart"
214,Wonder,a botch store robberi place wonder woman in a global battl against a power and mysteri ancient forc that put her power in jeopardy. action adventur fantasi julia robert jacob tremblay owen wilson stephen chboski
215,Cook Off!,amateur 'chefs' from around the countri compet for a million dollar prize in the ultim food fight. comedi cathryn michon melissa mccarthi wendi mclendon-covey cathryn michon (director/screenplay); guy shalem
216,Mr. Roosevelt,a young woman return home and must confront her ex-boyfriend when an unexpect tragedi occurs. comedi noël well nick thune britt lower noël well
217,"Roman J. Israel, Esq.","hard-nos liber lawyer roman j. israel ha been fight the good fight forev while other take the credit. when hi partner – the firm' frontman – ha a heart attack, israel suddenli take on that role. he soon discov some unsettl truth about the firm – truth that conflict with hi valu of help the poor and dispossess – and find himself in an existenti crisi that lead to extrem actions. drama crime thriller dan gilroy (director/screenplay) denzel washington colin farrel dan gilroy"
218,Coco,"despit hi family’ baffl generations-old ban on music, miguel dream of becom an accomplish musician like hi idol, ernesto de la cruz. desper to prove hi talent, miguel find himself in the stun and color land of the dead follow a mysteri chain of events. along the way, he meet charm trickster hector, and together, they set off on an extraordinari journey to unlock the real stori behind miguel' famili history. famili anim fantasi music comedi adventur anthoni gonzalez gael garcía bernal benjamin bratt lee unkrich"
219,Darkest Hour,"a thrill and inspir true stori begin on the eve of world war ii as, within day of becom prime minist of great britain, winston churchil must face one of hi most turbul and defin trials: explor a negoti peac treati with nazi germany, or stand firm to fight for the ideals, liberti and freedom of a nation. as the unstopp nazi forc roll across western europ and the threat of invas is imminent, and with an unprepar public, a skeptic king, and hi own parti plot against him, churchil must withstand hi darkest hour, ralli a nation, and attempt to chang the cours of world history. drama histori gari oldman ben mendelsohn kristin scott thoma joe wright"
220,The Man Who Invented Christmas,"in 1843, despit the fact that dicken is a success writer, the failur of hi latest book put hi career at a crossroads, until the moment when, struggl with inspir and confront realiti with hi childhood memories, a new charact is born in the depth of hi troubl mind; an old, lonely, embitt man, so vivid, so human, that a whole world grow around him, a stori so inspir that chang the mean of christma forever. drama histori comedi famili dan steven christoph plummer jonathan pryce bharat nalluri"
221,Call Me by Your Name,"in 1980 italy, a relationship begin between seventeen-year-old teenag elio and the older adult man hire as hi father' research assistant. romanc drama timothé chalamet armi hammer michael stuhlbarg luca guadagnino"
222,The Disaster Artist,"an aspir actor in hollywood meet an enigmat stranger by the name of tommi wiseau, the meet lead the actor down a path nobodi could have predicted; creat the worst movi ever made. comedi drama jame franco dave franco seth rogen jame franco"
223,The Shape of Water,"an other-worldli story, set against the backdrop of cold war era america circa 1962, where a mute janitor work at a lab fall in love with an amphibi man be held captiv there and devis a plan to help him escape. drama fantasi romanc salli hawkin michael shannon richard jenkin guillermo del toro"
224,Wonder Wheel,"the stori of four charact whose live intertwin amid the hustl and bustl of the coney island amus park in the 1950s: ginny, an emot volatil former actress now work as a waitress in a clam house; humpty, ginny’ rough-hewn carousel oper husband; mickey, a handsom young lifeguard who dream of becom a playwright; and carolina, humpty’ long-estrang daughter, who is now hide out from gangster at her father’ apartment. drama kate winslet justin timberlak juno templ woodi allen"
225,"I, Tonya","competit ice skater tonya hard rise amongst the rank at the u.s. figur skate championships, but her futur in the sport is thrown into doubt when her ex-husband intervenes. drama margot robbi sebastian stan allison janney craig gillespi"
226,Just Getting Started,"duke diver is live the high life as the freewheel manag of a luxuri resort in palm springs, calif. he soon face competit from leo, a former militari man who like the same woman that duke is interest in. when diver' past suddenli catch up with him, he must put asid hi differ and reluctantli team up with leo to stop whoever is tri to kill him. action comedi morgan freeman tommi lee jone rene russo ron shelton"
227,Star Wars: The Last Jedi,"rey develop her newli discov abil with the guidanc of luke skywalker, who is unsettl by the strength of her powers. meanwhile, the resist prepar to do battl with the first order. scienc fiction action adventur mark hamil carri fisher adam driver rian johnson"
228,Ferdinand,"ferdinand, a littl bull, prefer sit quietli under a cork tree just smell the flower versu jump around, snorting, and but head with other bulls. as ferdinand grow big and strong, hi tempera remain mellow, but one day five men come to choos the ""biggest, fastest, roughest bull"" for the bullfight in madrid and ferdinand is mistakenli chosen. base on the classic 1936 children' book by munro leaf. anim famili adventur comedi john cena kate mckinnon bobbi cannaval carlo saldanha"
229,Beyond Skyline,"detect mark corley storm hi way onto an alien spaceship to rescu hi estrang son. when the ship crash in southeast asia, he forg an allianc with a band of survivor to take back the planet onc and for all. action scienc fiction adventur horror frank grillo bojana novakov callan mulvey liam o'donnel"
230,Jumanji: Welcome to the Jungle,"the tabl are turn as four teenag are suck into jumanji' world - pit against rhinos, black mamba and an endless varieti of jungl trap and puzzles. to survive, they'll play as charact from the game. action adventur comedi fantasi dwayn johnson kevin hart jack black jake kasdan"
231,The Greatest Showman,"the stori of american showman p.t. barnum, founder of the circu that becam the famou travel ringl bros. and barnum & bailey circus. drama hugh jackman zac efron rebecca ferguson michael gracey"
232,Pitch Perfect 3,"after the high of win the world championships, the bella find themselv split apart and discov there aren't job prospect for make music with your mouth. but when they get the chanc to reunit for an oversea uso tour, thi group of awesom nerd will come togeth to make some music, and some question decisions, one last time. comedi music anna kendrick anna camp rebel wilson trish sie"
233,Downsizing,a kindli occup therapist undergo a new procedur to be shrunken to four inch tall so that he and hi wife can help save the planet and afford a nice lifestyl at the same time. scienc fiction comedi drama matt damon christoph waltz hong chau alexand payn
234,Father Figures,"upon learn that their mother ha been lie to them for year about their allegedli deceas father, two fratern twin brother hit the road in order to find him. comedi owen wilson ed helm j. k. simmon lawrenc sher"
235,The Post,a cover-up that span four u.s. presid push the country' first femal newspap publish and a hard-driv editor to join an unpreced battl between journalist and government. inspir by true events. drama histori tom hank meryl streep sarah paulson steven spielberg
236,Bright,"in an altern present-day where magic creatur live among us, two l.a. cop becom embroil in a prophesi turf battle. fantasi action thriller will smith joel edgerton noomi rapac david ayer"
237,Crooked House,"a privat investig help a former flame solv the murder of her wealthi grandfather, who live in a sprawl estat surround by hi idiosyncrat family. drama mysteri crime tv movi max iron glenn close gillian anderson gill paquet-brenn"
238,Hostiles,a legendari nativ american-h armi captain near retir in 1892 is given one last assignment: to escort a cheyenn chief and hi famili through danger territori back to hi montana reservation. western drama histori christian bale rosamund pike we studi scott cooper
239,All the Money in the World,the stori of the kidnap of 16-year-old john paul getti iii and the desper attempt by hi devot mother to convinc hi billionair grandfath jean paul getti to pay the ransom. thriller drama crime mysteri histori michel william mark wahlberg christoph plummer ridley scott
240,Molly's Game,"molli bloom, a young skier and former olymp hope becom a success entrepreneur (and a target of an fbi investigation) when she establish a high-stakes, intern poker game. crime drama jessica chastain idri elba kevin costner aaron sorkin"
241,Phantom Thread,"renown british dressmak reynold woodcock come across alma, a young, strong-wil woman, who soon becom a fixtur in hi life as hi muse and lover. drama romanc daniel day-lewi lesley manvil vicki kriep paul thoma anderson"
0,Insidious: The Last Key,"parapsychologist elis rainier and her team travel to five keys, nm, to investig a man’ claim of a haunting. terror soon strike when rainier realiz that the hous he live in wa her family’ old home. horror mysteri thriller lin shay angu sampson leigh whannel adam robitel"
1,The Strange Ones,"mysteri event surround the travel of two brother as they make their way across a remot american landscape. on the surfac all seem normal, but what appear to be a simpl vacat soon give way to a dark and complex web of secrets. thi is the featur film version of the 2011 short film go by the same name. thriller drama alex pettyf jame freedson-jackson emili althau lauren wolkstein"
2,Stratton,a british special boat servic commando track down an intern terrorist cell. action thriller domin cooper austin stowel gemma chan simon west
3,Sweet Country,"it’ 1929 on the vast, desert-like, eastern arrernt nation land that are now known as the central australian outback. sam kelly, a middle-ag aborigin man, work the land of a kind preacher, fred smith. after an ill-temp bulli arriv in town and kelli kill him in self-defence, he and hi wife go on the run as a poss gather to hunt him down. drama histori western bryan brown sam neill warwick thornton"
4,The Commuter,"a businessman, on hi daili commut home, get unwittingli caught up in a crimin conspiraci that threaten not onli hi life but the live of those around him. action thriller liam neeson vera farmiga patrick wilson jaum collet-serra"
5,Proud Mary,"mari is a hit woman work for an organ crime famili in boston, whose life is complet turn around when she meet a young boy whose path she cross when a profession hit goe bad. thriller action crime taraji p. henson billi brown danni glover babak najafi"
6,Acts of Violence,"when hi fiance is kidnap by human traffickers, roman and hi ex-militari brother set out to track her down and save her befor it is too late. along the way, roman team up with avery, a cop investig human traffick and fight the corrupt bureaucraci that ha harm intentions. action bruce willi cole hauser shawn ashmor brett donowho"
7,Freak Show,"the stori of teenag billi bloom who, despit attend an ultra conserv high school, make the decis to run for homecom queen. comedi drama alex lawther abigail breslin bett midler trudi styler"
8,Humor Me,an adult son who is slowli drift toward rock bottom reconnect with hi joke-lov dad. comedi jemain clement elliott gould ingrid michaelson sam hoffman
9,Vazante,"brazil 1821. upon hi return to the impos farmhouse, antonio, a rich cattl herder, find out that hi wife die in labor. forc to live in the properti with numer african slaves, he marri hi wife' niece. a restless soul, he return to droving, leav hi young wife behind alon with the slaves. drama adriano carvalho luana nasta daniela thoma"
10,Mary and the Witch's Flower,"mari smith, a young girl who live with her great-aunt in the countryside, follow a mysteri cat into the nearbi forest where she find a strang flower and an old broom, none of which is as ordinari as it seems. fantasi adventur anim rubi barnhil loui ashbourn serki kate winslet hiromasa yonebayashi"
11,12 Strong,a team of cia agent and special forc head into afghanistan in the aftermath of the septemb 11th attack in an attempt to dismantl the taliban. war drama action histori chri hemsworth michael shannon michael peña nicolai fuglsig
12,Den of Thieves,a gritti crime saga which follow the live of an elit unit of the la counti sheriff' dept. and the state' most success bank robberi crew as the outlaw plan a seemingli imposs heist on the feder reserv bank. action thriller crime gerard butler 50 cent pablo schreiber christian gudegast
13,Forever My Girl,"after be gone for a decade, a countri star return home to the love he left behind. romanc drama music alex roe jessica roth john benjamin hickey bethani ashton wolf"
14,Maze Runner: The Death Cure,"thoma lead hi group of escap glader on their final and most danger mission yet. to save their friends, they must break into the legendari last city, a wckd-control labyrinth that may turn out to be the deadliest maze of all. anyon who make it out aliv will get answer to the question the glader have been ask sinc they first arriv in the maze. scienc fiction action adventur thriller dylan o'brien kaya scodelario thoma brodie-sangst we ball"
15,The Insult,"frank drebin is persuad out of retir to go undercov in a state prison. there he ha to find out what top terrorist, rocco, ha plan for when he escapes. ad to hi problems, frank' wife, jane, is desper for a baby. comedi crime adel karam camil salameh kamel el basha ziad doueiri"
16,Please Stand By,"a young autist woman run away from her caregiv in order to boldli go and deliv her 500-page star trek script to a write competit in hollywood. on an adventur full of laughter and tears, wendi follow the guid spirit of mr. spock on her journey into the unknown. comedi drama dakota fan toni collett alic eve ben lewin"
17,Winchester,"san jose, california, 1906. isol in her labyrinthin mansion, eccentr firearm heiress sarah winchest believ that she is be haunt by the soul of those kill by the gun manufactur by her company. horror thriller helen mirren jason clark sarah snook the spierig brother"
18,A Fantastic Woman,"marina' life is thrown into turmoil follow the death of her partner. mourn the loss of the man she loved, she find herself under intens scrutini from those with no regard for her privacy. drama daniela vega francisco rey sebastián lelio"
19,Armed,the stori follow a team of highli train oper who find themselv trap insid an isol militari compound. action horror thriller mario van peebl william fichtner ryan guzman mario van peebl
20,The Cloverfield Paradox,"orbit abov a planet on the brink of war, scientist test a devic to solv an energi crisi and end up face-to-fac with a dark altern reality. horror scienc fiction action thriller daniel brühl elizabeth debicki aksel henni juliu onah"
21,Bad Apples,"it’ halloween night, and two “bad apples” decid to play some wick trick on the one hous in a suburban cul-de-sac that is not celebr halloween. they terror a young coupl in their home and these trick becom increasingli more sinist as the night progresses, final end in a halloween the entir neighborhood will never forget. horror brea grant graham skipper ali fitzgerald bryan coyn"
22,Peter Rabbit,"bea, thomas, and the rabbit have creat a makeshift family, but despit hi best efforts, peter can’t seem to shake hi mischiev reputation. adventur out of the garden, peter find himself in a world where hi mischief is appreciated, but when hi famili risk everyth to come look for him, peter must figur out what kind of bunni he want to be. famili comedi adventur anim fantasi jame corden domhnal gleeson rose byrn will gluck"
23,Fifty Shades Freed,"believ they have left behind shadowi figur from their past, newlyw christian and ana fulli embrac an inextric connect and share life of luxury. but just as she step into her role as mrs. grey and he relax into an unfamiliar stability, new threat could jeopard their happi end befor it even begins. drama romanc dakota johnson jami dornan kim basing jame foley"
24,The 15:17 to Paris,"in august 2015, an isi terrorist board train #9364 from brussel to paris. arm with an ak-47 and enough ammo to kill more than 500 people, the terrorist might have succeed except for three american friend who refus to give in to fear. one wa a colleg student, one wa a martial art enthusiast and airman first class in the u.s. air force, and the other wa a member of the oregon nation guard, and all three pal prove fearless as they charg and ultim overpow the gunman after he emerg from a bathroom arm and readi to kill. thriller histori drama anthoni sadler alek skarlato spencer stone clint eastwood"
25,La Boda de Valentina,"valentina seem to have the perfect life in new york, with a perfect job and a perfect boyfriend, jason tate—far, far away from her scandal polit famili in mexico. when jason propos to her and want to go to home to meet the famili she ha been keep a secret, her two world clash. ad to the hilari chaos, her famili bring her ex, angel, into the pictur and convinc valentina to go along with a sham marriag to him in an effort to stop further neg press as her father run for re-election. in the end, valentina must choos where her heart belongs. comedi omar chaparro marimar vega ryan carn marco polo constands"
27,Permission,a woman on the brink of a marriag propos is told by a friend that she should date other men befor spend the rest of her life with her boyfriend. comedi romanc drama rebecca hall dan steven morgan spector brian crano
